notes,Counter,photo name,date,date counted,height (level),treatment,replicate,# of boxes counted,Type 1,Type 2,Type 3,Type 4,Type 5,Type 6,Type 7,Type 8,total,percent alive
new method,joey,t0.high.c1v,t0,2008-12-10,high,c,1,1cm2 grid,48,0,64,0,0,0,0,0,112,0.428571429
new method,joey,t0.high.c2v,t0,2008-12-10,high,c,2,1cm2 grid,98,2,34,0,0,0,0,0,134,0.731343284
new method,joey,t0.high.c3v,t0,2008-12-10,high,c,3,1cm2 grid,138,0,36,0,0,0,0,0,174,0.793103448
new method,joey,t0.high.c4v,t0,2008-12-10,high,c,4,1cm2 grid,55,0,23,0,0,0,0,0,78,0.705128205
new method,joey,t0.high.c5v,t0,2008-12-10,high,c,5,1cm2 grid,43,1,53,0,0,0,0,0,97,0.443298969
new method,joey,t0.high.c6v,t0,2008-12-10,high,c,6,1cm2 grid,61,0,43,0,0,0,0,0,104,0.586538462
new method,joey,t0.high.c7v,t0,2008-12-10,high,c,7,1cm2 grid,52,0,56,0,0,0,0,0,108,0.481481481
new method,joey,t0.high.c8v,t0,2008-12-10,high,c,8,1cm2 grid,41,0,35,0,0,0,0,0,76,0.539473684
new method,joey,t0.high.v1v,t0,2008-12-10,high,v,1,1cm2 grid,93,2,20,0,0,0,0,0,115,0.808695652
new method,joey,t0.high.v2v,t0,2008-12-10,high,v,2,1cm2 grid,40,0,82,0,0,0,0,0,122,0.327868852
new method,joey,t0.high.v2v,t0,2008-12-11,high,v,2,1cm2 grid,33,0,80,0,0,0,0,0,113,0.292035398
new method,joey,t0.high.v3v,t0,2008-12-10,high,v,3,1cm2 grid,69,1,68,0,0,0,0,0,138,0.5
new method,joey,t0.high.v4v,t0,2008-12-10,high,v,4,1cm2 grid,83,8,47,0,0,0,0,0,138,0.601449275
new method,joey,t0.high.v5v,t0,2008-12-10,high,v,5,1cm2 grid,63,2,63,0,0,0,0,0,128,0.4921875
new method,joey,t0.high.v6v,t0,2008-12-10,high,v,6,1cm2 grid,83,5,25,0,0,0,0,0,113,0.734513274
new method,joey,t0.high.v7v,t0,2008-12-10,high,v,7,1cm2 grid,35,0,65,0,0,0,0,0,100,0.35
new method,joey,t0.high.v8v,t0,2008-12-10,high,v,8,1cm2 grid,71,1,69,0,0,0,0,0,141,0.503546099
new method,joey,t0.low.c3v,t0,2008-12-10,low,c,3,1cm2 grid,53,5,131,0,0,0,0,0,189,0.28042328
new method,joey,t0.low.c3v,t0,2008-12-10,low,c,3,0.5cm2 grid,108,4,269,0,0,0,0,0,381,0.283464567
new method,joey,t0.mid.v8v,t0,2008-12-10,mid,v,8,1cm2 grid,49,1,93,0,0,0,0,0,143,0.342657343
new method,joey,t1.high.c1v,t1,2008-12-10,high,c,1,1cm2 grid,69,7,47,0,0,0,0,0,123,0.56097561
new method,joey,t1.high.c2v,t1,2008-12-10,high,c,2,1cm2 grid,66,3,39,0,0,0,0,0,108,0.611111111
new method,joey,t1.high.c3v,t1,2008-12-10,high,c,3,1cm2 grid,111,2,32,0,0,0,0,0,145,0.765517241
new method,joey,t1.high.c4v,t1,2008-12-10,high,c,4,1cm2 grid,35,9,28,0,0,0,0,0,72,0.486111111
