ID,substrate,orientation,verticalness,height,dim1,dim2,dim3
1,b,w,v,1.38,125,70,60
2,b,nw,h,1.3,200,180,150
3,b,e,h,1.52,400,400,400
4,b,nw,v,1.16,55,65,75
5,b,se,v,1.64,97,95,70
6,b,ne,v,1.38,120,70,60
7,b,nw,v,1.4,35,60,40
8,b,nw,h,1.58,40,30,40
9,c,w,h,1.76,35,20,10
10,c,se,v,1.68,30,30,20
11,b,se,v,1.14,200,140,140
12,b,ne,v,1.24,140,100,100
13,b,sw,v,1.62,160,120,100
14,b,sw,v,1.56,100,100,60
15,c,,h,1.4,20,20,15
16,c,se,h,1.48,15,7,10
17,c,nw,h,1.3,20,10,20
18,c,sw,v,1.3,27,28,16
19,c,nw,h,1.32,16,18,10
20,c,sw,v,1.46,20,16,10
21,c,ne,v,1.6,20,16,10
22,c,nw,h,1.5,15,15,10
23,c,nw,h,1.54,20,15,10
24,c,nw,v,1.58,10,12,6
25,c,sw,h,1.66,18,17,10
26,be,nw,,1.7,,,
27,be,ne,,1.82,,,
